订单日期,商品类别,销售额,用户ID
2024-04-12,家居,910,15
2024-04-16,食品,3142,83
2024-08-02,图书,3494,100
2024-12-25,图书,1735,53
2024-09-14,家居,2483,64
2024-10-03,电子产品,4605,58
2024-01-22,食品,4893,89
2024-02-18,图书,1132,42
2024-07-06,图书,1949,55
2024-08-31,电子产品,3252,51
2024-05-14,食品,2938,39
2024-09-30,家居,650,60
2024-01-14,服装,2091,9
2024-12-11,食品,1413,92
2024-09-20,图书,3202,36
2024-02-19,家居,3123,6
2024-02-23,服装,3893,54
2024-07-09,服装,211,74
2024-09-26,家居,1066,62
2024-10-22,食品,387,53
2024-10-06,服装,4909,60
2024-02-10,食品,2112,45
2024-03-05,电子产品,2618,88
2024-05-08,家居,2745,88
2024-03-03,图书,441,35
2024-10-15,图书,3611,41
2024-01-28,电子产品,4925,34
2024-02-02,食品,2781,86
2024-02-04,电子产品,2740,1
2024-01-05,服装,552,14
2024-12-24,图书,4538,79
2024-01-15,服装,1534,51
2024-03-03,电子产品,613,96
2024-08-09,食品,1728,43
2024-01-29,家居,1772,86
2024-10-10,服装,2779,45
2024-03-02,电子产品,3110,6
2024-10-10,家居,3677,84
2024-10-12,图书,1713,92
2024-08-18,电子产品,1356,62
2024-04-30,家居,1332,70
2024-05-16,食品,4829,24
2024-11-10,电子产品,3813,62
2024-02-21,家居,3631,39
2024-04-22,食品,3746,56
2024-03-21,图书,2210,2
2024-05-09,家居,904,96
2024-08-12,电子产品,3524,2
2024-02-22,家居,2827,32
2024-07-16,家居,3560,75
2024-07-02,图书,4546,38
2024-10-06,食品,2981,98
2024-07-16,图书,3632,16
2024-04-06,电子产品,1197,59
2024-11-21,食品,1844,20
2024-09-08,图书,1419,67
2024-05-26,家居,2961,71
2024-11-03,电子产品,3026,40
2024-05-07,服装,2969,1
2024-09-23,家居,4111,42
2024-04-08,家居,673,60
2024-01-02,电子产品,3773,69
2024-02-06,图书,2106,99
2024-05-26,图书,4549,24
2024-02-23,电子产品,4041,75
2024-04-22,家居,1495,84
2024-09-10,图书,3233,89
2024-04-08,电子产品,3011,82
2024-07-12,图书,3841,61
2024-06-17,家居,210,68
2024-10-15,食品,4961,20
2024-05-14,图书,4546,33
2024-06-24,家居,1004,86
2024-01-22,食品,612,54
2024-09-20,图书,275,21
2024-10-12,电子产品,1009,97
2024-11-12,图书,4692,64
2024-02-18,电子产品,1293,30
2024-02-15,食品,2615,99
2024-08-20,食品,2377,93
2024-10-28,食品,656,99
2024-07-06,电子产品,1189,63
2024-09-09,食品,3025,87
2024-06-09,图书,177,18
2024-10-07,服装,619,67
2024-12-25,服装,4064,86
2024-05-30,服装,204,2
2024-09-29,电子产品,4391,48
2024-02-08,食品,2856,26
2024-12-20,服装,2505,13
2024-11-11,服装,3000,57
2024-02-05,食品,4165,65
2024-09-20,家居,1216,92
2024-12-19,服装,2824,63
2024-12-07,图书,3786,58
2024-03-03,食品,1765,42
2024-11-21,图书,2541,97
2024-09-20,食品,3101,5
2024-04-12,家居,4919,96
2024-12-15,图书,4414,30
2024-05-26,电子产品,169,63
2024-10-01,家居,1419,90
2024-04-26,电子产品,1981,1
2024-02-27,服装,562,34
2024-04-05,电子产品,4633,1
2024-09-28,食品,4120,64
2024-03-09,食品,2344,67
2024-03-16,服装,1729,51
2024-03-26,电子产品,3406,78
2024-08-07,食品,3168,94
2024-08-25,家居,4598,76
2024-08-05,服装,2529,85
2024-02-08,家居,1807,23
2024-09-06,服装,2899,52
2024-08-10,服装,3780,58
2024-04-05,电子产品,1065,69
2024-01-04,服装,4642,92
2024-06-08,图书,901,24
2024-06-26,图书,2477,33
2024-06-27,图书,3963,43
2024-02-13,食品,2494,12
2024-04-04,服装,2596,35
2024-08-02,电子产品,4235,8
2024-04-02,服装,1675,34
2024-04-24,电子产品,4024,68
2024-11-09,食品,1566,75
2024-08-04,食品,2858,36
2024-12-22,电子产品,3017,64
2024-08-14,电子产品,1172,36
2024-04-05,食品,3901,55
2024-01-13,电子产品,2964,30
2024-09-29,电子产品,645,89
2024-12-07,食品,748,19
2024-06-25,家居,445,61
2024-08-20,图书,4221,9
2024-10-10,家居,4996,16
2024-03-09,图书,4541,25
2024-02-22,电子产品,1112,53
2024-02-11,服装,3032,14
2024-08-10,服装,1206,35
2024-08-02,食品,4380,75
2024-05-25,家居,1003,17
2024-09-09,食品,1241,42
2024-10-09,服装,1267,5
2024-01-29,食品,2436,8
2024-12-30,电子产品,1415,17
2024-11-22,电子产品,1374,4
2024-10-18,家居,3536,19
2024-12-29,图书,763,90
2024-01-19,图书,4318,13
2024-08-29,家居,3759,58
2024-05-27,家居,505,61
2024-12-26,电子产品,2046,92
2024-07-08,电子产品,1264,25
2024-11-07,电子产品,183,58
2024-02-13,食品,1902,47
2024-05-28,食品,4348,36
2024-08-14,图书,3562,18
2024-02-16,电子产品,3426,14
2024-05-22,电子产品,1446,54
2024-09-15,电子产品,1403,96
2024-09-28,家居,717,8
2024-05-01,家居,4235,8
2024-07-04,家居,589,92
2024-12-22,电子产品,4885,64
2024-05-24,电子产品,2558,92
2024-08-27,食品,3006,46
2024-02-04,食品,4535,82
2024-09-12,食品,1888,25
2024-01-10,服装,1065,33
2024-03-05,服装,273,49
2024-09-23,食品,4208,89
2024-12-07,图书,4834,77
2024-04-07,电子产品,560,1
2024-11-06,家居,2050,69
2024-12-16,食品,1510,23
2024-02-22,食品,4859,74
2024-03-23,电子产品,2098,51
2024-06-21,食品,4594,32
2024-02-03,家居,1624,26
2024-09-06,服装,4583,3
2024-11-01,家居,2034,54
2024-08-23,食品,3087,94
2024-09-07,电子产品,4769,47
2024-07-25,食品,4031,66
2024-03-15,图书,2200,38
2024-07-10,家居,1379,98
2024-12-03,图书,2532,63
2024-11-03,电子产品,4311,97
2024-11-30,家居,4687,51
